Sample	Seqdepth	Names	Limit	Downscaled Factor	Source
TCGA.LUAD.33	1032306298		2.5e+08	0.242176184	TCGA_Data
TCGA.LUAD.363	301432823		2.5e+08	0.829372188	TCGA_Data
TCGA.LUAD.364	372278432		2.5e+08	0.671540381	TCGA_Data
TCGA.LUAD.375	389690804		2.5e+08	0.641534256	TCGA_Data
TCGA.LUAD.376	251365530		2.5e+08	0.994567553	TCGA_Data
TCGA.LUAD.377	286138409		2.5e+08	0.873703048	TCGA_Data
TCGA.LUAD.378	262368677		2.5e+08	0.952857646	TCGA_Data
TCGA.LUAD.395	253120854		2.5e+08	0.987670498	TCGA_Data
TCGA.LUAD.51	397069700		2.5e+08	0.629612383	TCGA_Data
TCGA.LUAD.52	262923348		2.5e+08	0.950847469	TCGA_Data
TCGA.LUAD.5	259155217		2.5e+08	0.964672843	TCGA_Data
TCGA.LUAD.6	402293896		2.5e+08	0.621436225	TCGA_Data
TCGA.LUSC.120	336750618		2.5e+08	0.742389135	TCGA_Data
TCGA.LUSC.132	467409836		2.5e+08	0.534862514	TCGA_Data
TCGA.LUSC.16	259509989		2.5e+08	0.963354054	TCGA_Data
TCGA.LUSC.18	305640831		2.5e+08	0.817953541	TCGA_Data
TCGA.LUSC.195	413377932		2.5e+08	0.604773455	TCGA_Data
TCGA.LUSC.245	312739013		2.5e+08	0.799388594	TCGA_Data
TCGA.LUSC.294	259946004		2.5e+08	0.961738192	TCGA_Data
TCGA.LUSC.295	251415794		2.5e+08	0.994368715	TCGA_Data
TCGA.LUSC.325	306432590		2.5e+08	0.815840117	TCGA_Data
TCGA.LUSC.326	282527329		2.5e+08	0.88487015	TCGA_Data
TCGA.LUSC.34	267924031		2.5e+08	0.933100324	TCGA_Data
TCGA.LUSC.373	356818434		2.5e+08	0.700636447	TCGA_Data
TCGA.MESO.141	418841564		2.5e+08	0.59688441	TCGA_Data
TCGA.MESO.21	462566185		2.5e+08	0.540463199	TCGA_Data
TCGA.MESO.221	770895231		2.5e+08	0.324298283	TCGA_Data
TCGA.MESO.222	353356648		2.5e+08	0.707500485	TCGA_Data
TCGA.MESO.315	354686270		2.5e+08	0.704848259	TCGA_Data
TCGA.MESO.369	284157183		2.5e+08	0.879794758	TCGA_Data
TCGA.MESO.394	374783620		2.5e+08	0.667051564	TCGA_Data
TCGA.PCPG.145	279365961		2.5e+08	0.89488354	TCGA_Data
TCGA.PCPG.158	712888935		2.5e+08	0.350685763	TCGA_Data
TCGA.PCPG.181	265040329		2.5e+08	0.943252678	TCGA_Data
TCGA.PCPG.235	359713112		2.5e+08	0.694998296	TCGA_Data
TCGA.PCPG.48	342930952		2.5e+08	0.729009728	TCGA_Data
TCGA.PCPG.50	332828475		2.5e+08	0.751137654	TCGA_Data
TCGA.PCPG.58	255516662		2.5e+08	0.978409776	TCGA_Data
TCGA.PCPG.7	299303222		2.5e+08	0.835273334	TCGA_Data
TCGA.PRAD.102	362263258		2.5e+08	0.690105868	TCGA_Data
TCGA.PRAD.105	278367249		2.5e+08	0.898094158	TCGA_Data
TCGA.PRAD.129	320507868		2.5e+08	0.780012053	TCGA_Data
TCGA.PRAD.138	265527717		2.5e+08	0.941521295	TCGA_Data
TCGA.PRAD.227	267010053		2.5e+08	0.936294335	TCGA_Data
TCGA.PRAD.23	269295296		2.5e+08	0.92834893	TCGA_Data
TCGA.PRAD.255	273599555		2.5e+08	0.913744176	TCGA_Data
TCGA.PRAD.278	276386972		2.5e+08	0.904528886	TCGA_Data
TCGA.PRAD.279	311406370		2.5e+08	0.802809525	TCGA_Data
TCGA.PRAD.281	270196817		2.5e+08	0.925251462	TCGA_Data
TCGA.PRAD.296	263191397		2.5e+08	0.949879072	TCGA_Data
TCGA.PRAD.301	389577037		2.5e+08	0.641721601	TCGA_Data
TCGA.PRAD.304	263938897		2.5e+08	0.947188925	TCGA_Data
TCGA.PRAD.352	411655595		2.5e+08	0.607303783	TCGA_Data
TCGA.PRAD.390	328000584		2.5e+08	0.762193765	TCGA_Data
TCGA.PRAD.65	373061896		2.5e+08	0.670130085	TCGA_Data
TCGA.PRAD.75	299180589		2.5e+08	0.835615709	TCGA_Data
TCGA.PRAD.76	310675202		2.5e+08	0.804698922	TCGA_Data
TCGA.PRAD.85	285284509		2.5e+08	0.876318174	TCGA_Data
TCGA.PRAD.86	290691886		2.5e+08	0.860017125	TCGA_Data
TCGA.PRAD.87	278245920		2.5e+08	0.898485771	TCGA_Data
TCGA.PRAD.88	281386513		2.5e+08	0.88845765	TCGA_Data
TCGA.SKCM.187	317908937		2.5e+08	0.786388714	TCGA_Data
TCGA.SKCM.188	439545631		2.5e+08	0.568769162	TCGA_Data
TCGA.SKCM.198	364216727		2.5e+08	0.686404499	TCGA_Data
TCGA.SKCM.199	421005499		2.5e+08	0.593816472	TCGA_Data
TCGA.SKCM.229	305439075		2.5e+08	0.818493835	TCGA_Data
TCGA.SKCM.24	284242303		2.5e+08	0.879531292	TCGA_Data
TCGA.SKCM.268	367858182		2.5e+08	0.679609731	TCGA_Data
TCGA.SKCM.314	305087606		2.5e+08	0.819436762	TCGA_Data
TCGA.SKCM.93	357860386		2.5e+08	0.698596463	TCGA_Data
TCGA.SKCM.94	458102447		2.5e+08	0.545729458	TCGA_Data
TCGA.STAD.10	262945533		2.5e+08	0.950767245	TCGA_Data
TCGA.STAD.121	321956527		2.5e+08	0.776502351	TCGA_Data
TCGA.STAD.122	265444443		2.5e+08	0.941816665	TCGA_Data
TCGA.STAD.131	264526721		2.5e+08	0.945084107	TCGA_Data
TCGA.STAD.133	286536623		2.5e+08	0.87248882	TCGA_Data
TCGA.STAD.135	278005856		2.5e+08	0.899261633	TCGA_Data
TCGA.STAD.269	316250206		2.5e+08	0.790513319	TCGA_Data
TCGA.STAD.318	266716395		2.5e+08	0.937325206	TCGA_Data
TCGA.STAD.319	256198114		2.5e+08	0.975807339	TCGA_Data
TCGA.STAD.332	296250612		2.5e+08	0.843880113	TCGA_Data
TCGA.STAD.361	288174579		2.5e+08	0.867529679	TCGA_Data
TCGA.STAD.362	355948014		2.5e+08	0.702349754	TCGA_Data
TCGA.STAD.374	432613034		2.5e+08	0.577883652	TCGA_Data
TCGA.STAD.47	324163030		2.5e+08	0.771216878	TCGA_Data
TCGA.STAD.64	296399225		2.5e+08	0.843456996	TCGA_Data
TCGA.STAD.91	659036716		2.5e+08	0.379341536	TCGA_Data
TCGA.TGCT.168	253122976		2.5e+08	0.987662218	TCGA_Data
TCGA.TGCT.20	337373057		2.5e+08	0.741019458	TCGA_Data
TCGA.TGCT.232	276516368		2.5e+08	0.904105612	TCGA_Data
TCGA.TGCT.317	314806630		2.5e+08	0.794138294	TCGA_Data
TCGA.TGCT.393	309600674		2.5e+08	0.807491782	TCGA_Data
TCGA.TGCT.53	307981156		2.5e+08	0.811737975	TCGA_Data
TCGA.TGCT.97	340103614		2.5e+08	0.735070107	TCGA_Data
TCGA.THCA.127	254142268		2.5e+08	0.983700988	TCGA_Data
TCGA.THCA.128	682831137		2.5e+08	0.36612273	TCGA_Data
TCGA.THCA.13	304837964		2.5e+08	0.820107826	TCGA_Data
TCGA.THCA.173	470750384		2.5e+08	0.531067012	TCGA_Data
TCGA.THCA.196	273035732		2.5e+08	0.915631072	TCGA_Data
TCGA.THCA.197	271476708		2.5e+08	0.920889316	TCGA_Data
TCGA.THCA.219	381679727		2.5e+08	0.65499942	TCGA_Data
TCGA.THCA.238	525564656		2.5e+08	0.475678867	TCGA_Data
TCGA.THCA.356	367890906		2.5e+08	0.679549279	TCGA_Data
TCGA.THCA.49	387409378		2.5e+08	0.645312205	TCGA_Data
TCGA.THCA.57	285406787		2.5e+08	0.875942729	TCGA_Data
TCGA.THCA.92	365668501		2.5e+08	0.683679342	TCGA_Data
TCGA.UCEC.139	269212675		2.5e+08	0.928633839	TCGA_Data
TCGA.UCEC.1	263004334		2.5e+08	0.950554678	TCGA_Data
TCGA.UCEC.262	407443989		2.5e+08	0.613581269	TCGA_Data
TCGA.UCEC.309	325474294		2.5e+08	0.768109816	TCGA_Data
TCGA.UCEC.350	364774462		2.5e+08	0.685354996	TCGA_Data
TCGA.UCEC.405	297311715		2.5e+08	0.840868312	TCGA_Data
TCGA.UCEC.62	296584788		2.5e+08	0.842929274	TCGA_Data
TCGA.UCEC.96	267483831		2.5e+08	0.934635933	TCGA_Data
