"Data_Reference" "Data_Origin" "SRR_Sample" "File_Accession" "Experiment_Accession" "Paired" "Nature"
"ATAC_brain_hippocampus_Neuronal_male_age_20_untreated_1_1_1" "GSE96949" "SRR5367769" "" "" "paired-ended" "fastq"
"ATAC_brain_hippocampus_Neuronal_male_age_22_untreated_1_1_1" "GSE96949" "SRR5367745" "" "" "paired-ended" "fastq"
"ATAC_brain_hippocampus_NonNeuronal_female_age_22_untreated_1_1_1" "GSE96949" "SRR5367802" "" "" "paired-ended" "fastq"
"ATAC_brain_hippocampus_NonNeuronal_male_age_20_untreated_1_1_1" "GSE96949" "SRR5367757" "" "" "paired-ended" "fastq"
"ATAC_brain_hippocampus_NonNeuronal_male_age_22_untreated_1_1_1" "GSE96949" "SRR5367733" "" "" "paired-ended" "fastq"
"ATAC_brain_inferior_temporal_cortex_Neuronal_female_age_22_untreated_1_1_1" "GSE96949" "SRR5367817" "" "" "paired-ended" "fastq"
"ATAC_brain_inferior_temporal_cortex_Neuronal_male_age_19_untreated_1_1_1" "GSE96949" "SRR5367722" "" "" "paired-ended" "fastq"
"ATAC_brain_inferior_temporal_cortex_Neuronal_male_age_20_untreated_1_1_1" "GSE96949" "SRR5367771" "" "" "paired-ended" "fastq"
"ATAC_brain_inferior_temporal_cortex_Neuronal_male_age_22_untreated_1_1_1" "GSE96949" "SRR5367747" "" "" "paired-ended" "fastq"
"ATAC_brain_inferior_temporal_cortex_Neuronal_male_age_28_untreated_1_1_1" "GSE96949" "SRR5367793" "" "" "paired-ended" "fastq"
"ATAC_brain_inferior_temporal_cortex_NonNeuronal_female_age_22_untreated_1_1_1" "GSE96949" "SRR5367804" "" "" "paired-ended" "fastq"
"ATAC_brain_inferior_temporal_cortex_NonNeuronal_male_age_19_untreated_1_1_1" "GSE96949" "SRR5367711" "" "" "paired-ended" "fastq"
"ATAC_brain_inferior_temporal_cortex_NonNeuronal_male_age_20_untreated_1_1_1" "GSE96949" "SRR5367759" "" "" "paired-ended" "fastq"
"ATAC_brain_inferior_temporal_cortex_NonNeuronal_male_age_22_untreated_1_1_1" "GSE96949" "SRR5367735" "" "" "paired-ended" "fastq"
"ATAC_brain_inferior_temporal_cortex_NonNeuronal_male_age_28_untreated_1_1_1" "GSE96949" "SRR5367782" "" "" "paired-ended" "fastq"
"ATAC_brain_insula_Neuronal_female_age_22_untreated_1_1_1" "GSE96949" "SRR5367816" "" "" "paired-ended" "fastq"
"ATAC_brain_insula_Neuronal_male_age_19_untreated_1_1_1" "GSE96949" "SRR5367721" "" "" "paired-ended" "fastq"
"ATAC_brain_insula_Neuronal_male_age_20_untreated_1_1_1" "GSE96949" "SRR5367770" "" "" "paired-ended" "fastq"
"ATAC_brain_insula_Neuronal_male_age_22_untreated_1_1_1" "GSE96949" "SRR5367746" "" "" "paired-ended" "fastq"
"ATAC_brain_insula_Neuronal_male_age_28_untreated_1_1_1" "GSE96949" "SRR5367792" "" "" "paired-ended" "fastq"
"ATAC_brain_insula_NonNeuronal_female_age_22_untreated_1_1_1" "GSE96949" "SRR5367803" "" "" "paired-ended" "fastq"
"ATAC_brain_insula_NonNeuronal_male_age_19_untreated_1_1_1" "GSE96949" "SRR5367710" "" "" "paired-ended" "fastq"
"ATAC_brain_insula_NonNeuronal_male_age_20_untreated_1_1_1" "GSE96949" "SRR5367758" "" "" "paired-ended" "fastq"
"ATAC_brain_insula_NonNeuronal_male_age_22_untreated_1_1_1" "GSE96949" "SRR5367734" "" "" "paired-ended" "fastq"
"ATAC_brain_insula_NonNeuronal_male_age_28_untreated_1_1_1" "GSE96949" "SRR5367781" "" "" "paired-ended" "fastq"
"ATAC_brain_medial_orbitofrontal_cortex_Neuronal_female_age_22_untreated_1_1_1" "GSE96949" "SRR5367819" "" "" "paired-ended" "fastq"
"ATAC_brain_medial_orbitofrontal_cortex_Neuronal_male_age_19_untreated_1_1_1" "GSE96949" "SRR5367724" "" "" "paired-ended" "fastq"
"ATAC_brain_medial_orbitofrontal_cortex_Neuronal_male_age_20_untreated_1_1_1" "GSE96949" "SRR5367773" "" "" "paired-ended" "fastq"
"ATAC_brain_medial_orbitofrontal_cortex_Neuronal_male_age_22_untreated_1_1_1" "GSE96949" "SRR5367750" "" "" "paired-ended" "fastq"
"ATAC_brain_medial_orbitofrontal_cortex_Neuronal_male_age_28_untreated_1_1_1" "GSE96949" "SRR5367794" "" "" "paired-ended" "fastq"
"ATAC_brain_medial_orbitofrontal_cortex_NonNeuronal_female_age_22_untreated_1_1_1" "GSE96949" "SRR5367806" "" "" "paired-ended" "fastq"
"ATAC_brain_medial_orbitofrontal_cortex_NonNeuronal_male_age_19_untreated_1_1_1" "GSE96949" "SRR5367713" "" "" "paired-ended" "fastq"
"ATAC_brain_medial_orbitofrontal_cortex_NonNeuronal_male_age_20_untreated_1_1_1" "GSE96949" "SRR5367761" "" "" "paired-ended" "fastq"
"ATAC_brain_medial_orbitofrontal_cortex_NonNeuronal_male_age_22_untreated_1_1_1" "GSE96949" "SRR5367738" "" "" "paired-ended" "fastq"
"ATAC_brain_medial_orbitofrontal_cortex_NonNeuronal_male_age_28_untreated_1_1_1" "GSE96949" "SRR5367784" "" "" "paired-ended" "fastq"
"ATAC_brain_mediodorsal_thalamus_Neuronal_female_age_22_untreated_1_1_1" "GSE96949" "SRR5367818" "" "" "paired-ended" "fastq"
"ATAC_brain_mediodorsal_thalamus_Neuronal_male_age_19_untreated_1_1_1" "GSE96949" "SRR5367723" "" "" "paired-ended" "fastq"
"ATAC_brain_mediodorsal_thalamus_Neuronal_male_age_22_untreated_1_1_1" "GSE96949" "SRR5367748" "" "" "paired-ended" "fastq"
"ATAC_brain_mediodorsal_thalamus_NonNeuronal_female_age_22_untreated_1_1_1" "GSE96949" "SRR5367805" "" "" "paired-ended" "fastq"
"ATAC_brain_mediodorsal_thalamus_NonNeuronal_male_age_19_untreated_1_1_1" "GSE96949" "SRR5367712" "" "" "paired-ended" "fastq"
"ATAC_brain_mediodorsal_thalamus_NonNeuronal_male_age_22_untreated_1_1_1" "GSE96949" "SRR5367736" "" "" "paired-ended" "fastq"
"ATAC_brain_mediodorsal_thalamus_NonNeuronal_male_age_28_untreated_1_1_1" "GSE96949" "SRR5367783" "" "" "paired-ended" "fastq"
"ATAC_brain_nucleus_accumbens_Neuronal_male_age_22_untreated_1_1_1" "GSE96949" "SRR5367749" "" "" "paired-ended" "fastq"
"ATAC_brain_nucleus_accumbens_NonNeuronal_male_age_22_untreated_1_1_1" "GSE96949" "SRR5367737" "" "" "paired-ended" "fastq"
"ATAC_brain_posterior_superior_temporal_cortex_Neuronal_female_age_22_untreated_1_1_1" "GSE96949" "SRR5367823" "" "" "paired-ended" "fastq"
"ATAC_brain_posterior_superior_temporal_cortex_Neuronal_male_age_19_untreated_1_1_1" "GSE96949" "SRR5367728" "" "" "paired-ended" "fastq"
"ATAC_brain_posterior_superior_temporal_cortex_Neuronal_male_age_20_untreated_1_1_1" "GSE96949" "SRR5367777" "" "" "paired-ended" "fastq"
"ATAC_brain_posterior_superior_temporal_cortex_Neuronal_male_age_22_untreated_1_1_1" "GSE96949" "SRR5367753" "" "" "paired-ended" "fastq"
"ATAC_brain_posterior_superior_temporal_cortex_Neuronal_male_age_28_untreated_1_1_1" "GSE96949" "SRR5367797" "" "" "paired-ended" "fastq"
"ATAC_brain_posterior_superior_temporal_cortex_NonNeuronal_female_age_22_untreated_1_1_1" "GSE96949" "SRR5367810" "" "" "paired-ended" "fastq"
"ATAC_brain_posterior_superior_temporal_cortex_NonNeuronal_male_age_19_untreated_1_1_1" "GSE96949" "SRR5367717" "" "" "paired-ended" "fastq"
"ATAC_brain_posterior_superior_temporal_cortex_NonNeuronal_male_age_20_untreated_1_1_1" "GSE96949" "SRR5367765" "" "" "paired-ended" "fastq"
"ATAC_brain_posterior_superior_temporal_cortex_NonNeuronal_male_age_22_untreated_1_1_1" "GSE96949" "SRR5367741" "" "" "paired-ended" "fastq"
"ATAC_brain_posterior_superior_temporal_cortex_NonNeuronal_male_age_28_untreated_1_1_1" "GSE96949" "SRR5367788" "" "" "paired-ended" "fastq"
"ATAC_brain_primary_motor_cortex_Neuronal_female_age_22_untreated_1_1_1" "GSE96949" "SRR5367820" "" "" "paired-ended" "fastq"
"ATAC_brain_primary_motor_cortex_Neuronal_male_age_19_untreated_1_1_1" "GSE96949" "SRR5367725" "" "" "paired-ended" "fastq"
"ATAC_brain_primary_motor_cortex_Neuronal_male_age_20_untreated_1_1_1" "GSE96949" "SRR5367774" "" "" "paired-ended" "fastq"
"ATAC_brain_primary_motor_cortex_Neuronal_male_age_28_untreated_1_1_1" "GSE96949" "SRR5367795" "" "" "paired-ended" "fastq"
"ATAC_brain_primary_motor_cortex_NonNeuronal_female_age_22_untreated_1_1_1" "GSE96949" "SRR5367807" "" "" "paired-ended" "fastq"
"ATAC_brain_primary_motor_cortex_NonNeuronal_male_age_19_untreated_1_1_1" "GSE96949" "SRR5367714" "" "" "paired-ended" "fastq"
"ATAC_brain_primary_motor_cortex_NonNeuronal_male_age_20_untreated_1_1_1" "GSE96949" "SRR5367762" "" "" "paired-ended" "fastq"
"ATAC_brain_primary_motor_cortex_NonNeuronal_male_age_22_untreated_1_1_1" "GSE96949" "SRR5367739" "" "" "paired-ended" "fastq"
"ATAC_brain_primary_motor_cortex_NonNeuronal_male_age_28_untreated_1_1_1" "GSE96949" "SRR5367785" "" "" "paired-ended" "fastq"
"ATAC_brain_primary_visual_cortex_Neuronal_female_age_22_untreated_1_1_1" "GSE96949" "SRR5367822" "" "" "paired-ended" "fastq"
"ATAC_brain_primary_visual_cortex_Neuronal_male_age_19_untreated_1_1_1" "GSE96949" "SRR5367727" "" "" "paired-ended" "fastq"
"ATAC_brain_primary_visual_cortex_Neuronal_male_age_20_untreated_1_1_1" "GSE96949" "SRR5367776" "" "" "paired-ended" "fastq"
"ATAC_brain_primary_visual_cortex_Neuronal_male_age_22_untreated_1_1_1" "GSE96949" "SRR5367752" "" "" "paired-ended" "fastq"
"ATAC_brain_primary_visual_cortex_Neuronal_male_age_28_untreated_1_1_1" "GSE96949" "SRR5367796" "" "" "paired-ended" "fastq"
"ATAC_brain_primary_visual_cortex_NonNeuronal_female_age_22_untreated_1_1_1" "GSE96949" "SRR5367809" "" "" "paired-ended" "fastq"
"ATAC_brain_primary_visual_cortex_NonNeuronal_male_age_19_untreated_1_1_1" "GSE96949" "SRR5367716" "" "" "paired-ended" "fastq"
"ATAC_brain_primary_visual_cortex_NonNeuronal_male_age_20_untreated_1_1_1" "GSE96949" "SRR5367764" "" "" "paired-ended" "fastq"
"ATAC_brain_primary_visual_cortex_NonNeuronal_male_age_28_untreated_1_1_1" "GSE96949" "SRR5367787" "" "" "paired-ended" "fastq"
"ATAC_brain_putamen_Neuronal_female_age_22_untreated_1_1_1" "GSE96949" "SRR5367821" "" "" "paired-ended" "fastq"
"ATAC_brain_putamen_Neuronal_male_age_19_untreated_1_1_1" "GSE96949" "SRR5367726" "" "" "paired-ended" "fastq"
"ATAC_brain_putamen_Neuronal_male_age_20_untreated_1_1_1" "GSE96949" "SRR5367775" "" "" "paired-ended" "fastq"
"ATAC_brain_putamen_Neuronal_male_age_22_untreated_1_1_1" "GSE96949" "SRR5367751" "" "" "paired-ended" "fastq"
"ATAC_brain_putamen_NonNeuronal_female_age_22_untreated_1_1_1" "GSE96949" "SRR5367808" "" "" "paired-ended" "fastq"
"ATAC_brain_putamen_NonNeuronal_male_age_19_untreated_1_1_1" "GSE96949" "SRR5367715" "" "" "paired-ended" "fastq"
"ATAC_brain_putamen_NonNeuronal_male_age_20_untreated_1_1_1" "GSE96949" "SRR5367763" "" "" "paired-ended" "fastq"
"ATAC_brain_putamen_NonNeuronal_male_age_22_untreated_1_1_1" "GSE96949" "SRR5367740" "" "" "paired-ended" "fastq"
"ATAC_brain_putamen_NonNeuronal_male_age_28_untreated_1_1_1" "GSE96949" "SRR5367786" "" "" "paired-ended" "fastq"
"ATAC_brain_ventrolateral_prefrontal_cortex_Neuronal_female_age_22_untreated_1_1_1" "GSE96949" "SRR5367824" "" "" "paired-ended" "fastq"
"ATAC_brain_ventrolateral_prefrontal_cortex_Neuronal_male_age_19_untreated_1_1_1" "GSE96949" "SRR5367729" "" "" "paired-ended" "fastq"
"ATAC_brain_ventrolateral_prefrontal_cortex_Neuronal_male_age_20_untreated_1_1_1" "GSE96949" "SRR5367778" "" "" "paired-ended" "fastq"
"ATAC_brain_ventrolateral_prefrontal_cortex_Neuronal_male_age_22_untreated_1_1_1" "GSE96949" "SRR5367754" "" "" "paired-ended" "fastq"
"ATAC_brain_ventrolateral_prefrontal_cortex_Neuronal_male_age_28_untreated_1_1_1" "GSE96949" "SRR5367798" "" "" "paired-ended" "fastq"
"ATAC_brain_ventrolateral_prefrontal_cortex_NonNeuronal_female_age_22_untreated_1_1_1" "GSE96949" "SRR5367811" "" "" "paired-ended" "fastq"
"ATAC_brain_ventrolateral_prefrontal_cortex_NonNeuronal_male_age_19_untreated_1_1_1" "GSE96949" "SRR5367718" "" "" "paired-ended" "fastq"
"ATAC_brain_ventrolateral_prefrontal_cortex_NonNeuronal_male_age_20_untreated_1_1_1" "GSE96949" "SRR5367766" "" "" "paired-ended" "fastq"
"ATAC_brain_ventrolateral_prefrontal_cortex_NonNeuronal_male_age_22_untreated_1_1_1" "GSE96949" "SRR5367742" "" "" "paired-ended" "fastq"
"ATAC_brain_ventrolateral_prefrontal_cortex_NonNeuronal_male_age_28_untreated_1_1_1" "GSE96949" "SRR5367789" "" "" "paired-ended" "fastq"
"Liver_male_54_684B_1" "GSE164942" "SRR13439635" "" "" "paired-ended" "fastq"
"Liver_male_16_786_2" "GSE164942" "SRR13439633" "" "" "paired-ended" "fastq"
"Liver_male_54_684B_3" "GSE164942" "SRR13439636" "" "" "paired-ended" "fastq"
"Liver_male_54_684B_4" "GSE164942" "SRR13439634" "" "" "paired-ended" "fastq"
"Liver_male_16_786_5" "GSE164942" "SRR13439631" "" "" "paired-ended" "fastq"
"Liver_male_16_786_6" "GSE164942" "SRR13439632" "" "" "paired-ended" "fastq"
"Liver_male_16_794_7" "GSE164942" "SRR13439637" "" "" "paired-ended" "fastq"
"Liver_male_16_794_8" "GSE164942" "SRR13439639" "" "" "paired-ended" "fastq"
"Liver_male_16_794_9" "GSE164942" "SRR13439638" "" "" "paired-ended" "fastq"
"Liver_male_50_795_10" "GSE164942" "SRR13439641" "" "" "paired-ended" "fastq"
"Liver_male_50_795_11" "GSE164942" "SRR13439640" "" "" "paired-ended" "fastq"
"Liver_male_50_795_12" "GSE164942" "SRR13439642" "" "" "paired-ended" "fastq"
"Liver_female_16_753_13" "GSE164942" "SRR13439643" "" "" "paired-ended" "fastq"
"Liver_female_16_753_14" "GSE164942" "SRR13439645" "" "" "paired-ended" "fastq"
"Liver_female_16_753_15" "GSE164942" "SRR13439644" "" "" "paired-ended" "fastq"
"Liver_female_49_670B_16" "GSE164942" "SRR13439646" "" "" "paired-ended" "fastq"
"Liver_female_49_670B_17" "GSE164942" "SRR13439647" "" "" "paired-ended" "fastq"
"Liver_female_49_670B_18" "GSE164942" "SRR13439648" "" "" "paired-ended" "fastq"
"Liver_female_17_651_19" "GSE164942" "SRR13439649" "" "" "paired-ended" "fastq"
"Liver_female_17_651_20" "GSE164942" "SRR13439650" "" "" "paired-ended" "fastq"
"Liver_female_17_651_21" "GSE164942" "SRR13439651" "" "" "paired-ended" "fastq"
"Liver_female_49_683_22" "GSE164942" "SRR13439652" "" "" "paired-ended" "fastq"
"Liver_female_49_683_23" "GSE164942" "SRR13439653" "" "" "paired-ended" "fastq"
"Liver_female_49_683_24" "GSE164942" "SRR13439654" "" "" "paired-ended" "fastq"
"Liver_female_35_662_25" "GSE164942" "SRR13439655" "" "" "paired-ended" "fastq"
"Liver_female_35_662_26" "GSE164942" "SRR13439656" "" "" "paired-ended" "fastq"
"Liver_female_35_662_27" "GSE164942" "SRR13439657" "" "" "paired-ended" "fastq"
"Liver_female_30_767_28" "GSE164942" "SRR13439659" "" "" "paired-ended" "fastq"
"Liver_female_30_767_29" "GSE164942" "SRR13439658" "" "" "paired-ended" "fastq"
"Liver_female_30_767_30" "GSE164942" "SRR13439660" "" "" "paired-ended" "fastq"
"Liver_male_43_348_31" "GSE164942" "SRR13439661" "" "" "paired-ended" "fastq"
"Liver_male_43_348_32" "GSE164942" "SRR13439662" "" "" "paired-ended" "fastq"
"Liver_male_43_348_33" "GSE164942" "SRR13439663" "" "" "paired-ended" "fastq"
"Liver_male_43_348_34" "GSE164942" "SRR13439665" "" "" "paired-ended" "fastq"
"Liver_male_43_348_35" "GSE164942" "SRR13439664" "" "" "paired-ended" "fastq"
"Liver_male_43_348_36" "GSE164942" "SRR13439666" "" "" "paired-ended" "fastq"
"Liver_female_7_438_37" "GSE164942" "SRR13439667" "" "" "paired-ended" "fastq"
"Liver_female_7_438_38" "GSE164942" "SRR13439668" "" "" "paired-ended" "fastq"
"Liver_female_7_438_39" "GSE164942" "SRR13439669" "" "" "paired-ended" "fastq"
"Liver_female_7_438_40" "GSE164942" "SRR13439671" "" "" "paired-ended" "fastq"
"Liver_female_7_438_41" "GSE164942" "SRR13439670" "" "" "paired-ended" "fastq"
"Liver_female_7_438_42" "GSE164942" "SRR13439672" "" "" "paired-ended" "fastq"
"Liver_female_17_459_43" "GSE164942" "SRR13439673" "" "" "paired-ended" "fastq"
"Liver_female_17_459_44" "GSE164942" "SRR13439674" "" "" "paired-ended" "fastq"
"Liver_female_17_459_45" "GSE164942" "SRR13439675" "" "" "paired-ended" "fastq"
"Liver_female_17_459_46" "GSE164942" "SRR13439677" "" "" "paired-ended" "fastq"
"Liver_female_17_459_47" "GSE164942" "SRR13439676" "" "" "paired-ended" "fastq"
"Liver_female_17_459_48" "GSE164942" "SRR13439678" "" "" "paired-ended" "fastq"
"Liver_female_50_485_49" "GSE164942" "SRR13439679" "" "" "paired-ended" "fastq"
"Liver_female_50_485_50" "GSE164942" "SRR13439680" "" "" "paired-ended" "fastq"
"Liver_female_50_485_51" "GSE164942" "SRR13439681" "" "" "paired-ended" "fastq"
"Liver_female_50_485_52" "GSE164942" "SRR13439682" "" "" "paired-ended" "fastq"
"Liver_female_50_485_53" "GSE164942" "SRR13439683" "" "" "paired-ended" "fastq"
"Liver_female_50_485_54" "GSE164942" "SRR13439684" "" "" "paired-ended" "fastq"
"Liver_male_20_713_55" "GSE164942" "SRR13439685" "" "" "paired-ended" "fastq"
"Liver_male_20_713_56" "GSE164942" "SRR13439686" "" "" "paired-ended" "fastq"
"Liver_male_20_713_57" "GSE164942" "SRR13439687" "" "" "paired-ended" "fastq"
"Liver_male_20_713_58" "GSE164942" "SRR13439689" "" "" "paired-ended" "fastq"
"Liver_male_20_713_59" "GSE164942" "SRR13439688" "" "" "paired-ended" "fastq"
"Liver_male_20_713_60" "GSE164942" "SRR13439690" "" "" "paired-ended" "fastq"
"Liver_male_58_715_61" "GSE164942" "SRR13439691" "" "" "paired-ended" "fastq"
"Liver_male_58_715_62" "GSE164942" "SRR13439692" "" "" "paired-ended" "fastq"
"Liver_male_58_715_63" "GSE164942" "SRR13439693" "" "" "paired-ended" "fastq"
"Liver_male_58_715_64" "GSE164942" "SRR13439695" "" "" "paired-ended" "fastq"
"Liver_male_58_715_65" "GSE164942" "SRR13439694" "" "" "paired-ended" "fastq"
"Liver_male_58_715_66" "GSE164942" "SRR13439696" "" "" "paired-ended" "fastq"
"Liver_female_36_793_67" "GSE164942" "SRR13439697" "" "" "paired-ended" "fastq"
"Liver_female_36_793_68" "GSE164942" "SRR13439698" "" "" "paired-ended" "fastq"
"Liver_female_36_793_69" "GSE164942" "SRR13439699" "" "" "paired-ended" "fastq"
"Liver_female_36_793_70" "GSE164942" "SRR13439701" "" "" "paired-ended" "fastq"
"Liver_female_36_793_71" "GSE164942" "SRR13439700" "" "" "paired-ended" "fastq"
"Liver_female_36_793_72" "GSE164942" "SRR13439702" "" "" "paired-ended" "fastq"
"Liver_female_12_797_73" "GSE164942" "SRR13439703" "" "" "paired-ended" "fastq"
"Liver_female_12_797_74" "GSE164942" "SRR13439704" "" "" "paired-ended" "fastq"
"Liver_female_12_797_75" "GSE164942" "SRR13439705" "" "" "paired-ended" "fastq"
"Liver_female_12_797_76" "GSE164942" "SRR13439706" "" "" "paired-ended" "fastq"
"Liver_female_12_797_77" "GSE164942" "SRR13439707" "" "" "paired-ended" "fastq"
"Liver_female_12_797_78" "GSE164942" "SRR13439708" "" "" "paired-ended" "fastq"
"Liver_male_28_365B_79" "GSE164942" "SRR13439626" "" "" "paired-ended" "fastq"
"Liver_male_28_365B_80" "GSE164942" "SRR13439625" "" "" "paired-ended" "fastq"
"Liver_male_28_365B_81" "GSE164942" "SRR13439627" "" "" "paired-ended" "fastq"
"Liver_male_28_469_82" "GSE164942" "SRR13439628" "" "" "paired-ended" "fastq"
"Liver_male_28_469_83" "GSE164942" "SRR13439629" "" "" "paired-ended" "fastq"
"Liver_male_28_469_84" "GSE164942" "SRR13439630" "" "" "paired-ended" "fastq"
"TCGA-AP-A051-01A" "TCGA" "" "" "" "" "bam"
"TCGA-NH-A50V-01B" "TCGA" "" "" "" "" "bam"
"TCGA-AA-A010-01A" "TCGA" "" "" "" "" "bam"
"TCGA-06-A6S1-01A" "TCGA" "" "" "" "" "bam"
"TCGA-MP-A4TF-01A" "TCGA" "" "" "" "" "bam"
"TCGA-44-A47F-01A" "TCGA" "" "" "" "" "bam"
"TCGA-RM-A68W-01A" "TCGA" "" "" "" "" "bam"
"TCGA-AY-A8YK-01A" "TCGA" "" "" "" "" "bam"
"TCGA-NH-A6GC-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BR-A4IY-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BH-A1EV-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BH-A0HP-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BJ-A0Z3-01A" "TCGA" "" "" "" "" "bam"
"TCGA-AD-6889-01A" "TCGA" "" "" "" "" "bam"
"TCGA-O2-A52N-01A" "TCGA" "" "" "" "" "bam"
"TCGA-37-A5EM-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BR-A4QL-01A" "TCGA" "" "" "" "" "bam"
"TCGA-85-A4CN-01A" "TCGA" "" "" "" "" "bam"
"TCGA-MF-A522-01A" "TCGA" "" "" "" "" "bam"
"TCGA-4K-AA1I-01A" "TCGA" "" "" "" "" "bam"
"TCGA-LK-A4NY-01A" "TCGA" "" "" "" "" "bam"
"TCGA-PJ-A8JU-01A" "TCGA" "" "" "" "" "bam"
"TCGA-SU-A7E7-01A" "TCGA" "" "" "" "" "bam"
"TCGA-D9-A6EA-06A" "TCGA" "" "" "" "" "bam"
"TCGA-EB-A3Y6-01A" "TCGA" "" "" "" "" "bam"
"TCGA-NH-A50U-01A" "TCGA" "" "" "" "" "bam"
"TCGA-GL-A9DC-01A" "TCGA" "" "" "" "" "bam"
"TCGA-06-A5U0-01A" "TCGA" "" "" "" "" "bam"
"TCGA-4A-A93Y-01A" "TCGA" "" "" "" "" "bam"
"TCGA-AA-A01X-01A" "TCGA" "" "" "" "" "bam"
"TCGA-F9-A8NY-01A" "TCGA" "" "" "" "" "bam"
"TCGA-86-A4D0-01A" "TCGA" "" "" "" "" "bam"
"TCGA-44-6146-01A" "TCGA" "" "" "" "" "bam"
"TCGA-77-A5G6-01A" "TCGA" "" "" "" "" "bam"
"TCGA-AR-A0TV-01A" "TCGA" "" "" "" "" "bam"
"TCGA-A2-A0YD-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BH-A0DP-01A" "TCGA" "" "" "" "" "bam"
"TCGA-A2-A0SV-01A" "TCGA" "" "" "" "" "bam"
"TCGA-A2-A0T4-01A" "TCGA" "" "" "" "" "bam"
"TCGA-DD-AACI-01A" "TCGA" "" "" "" "" "bam"
"TCGA-B2-A4SR-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BC-A8YO-01A" "TCGA" "" "" "" "" "bam"
"TCGA-UZ-A9PQ-01A" "TCGA" "" "" "" "" "bam"
"TCGA-UZ-A9PV-01A" "TCGA" "" "" "" "" "bam"
"TCGA-P4-A5EB-01A" "TCGA" "" "" "" "" "bam"
"TCGA-NH-A5IV-01A" "TCGA" "" "" "" "" "bam"
"TCGA-VQ-A8PJ-01A" "TCGA" "" "" "" "" "bam"
"TCGA-QT-A5XN-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BJ-A0Z5-01A" "TCGA" "" "" "" "" "bam"
"TCGA-RT-A6YA-01A" "TCGA" "" "" "" "" "bam"
"TCGA-86-A4P8-01A" "TCGA" "" "" "" "" "bam"
"TCGA-NJ-A4YG-01A" "TCGA" "" "" "" "" "bam"
"TCGA-2G-AAFO-01A" "TCGA" "" "" "" "" "bam"
"TCGA-P4-A5ED-01B" "TCGA" "" "" "" "" "bam"
"TCGA-E1-A7YI-01A" "TCGA" "" "" "" "" "bam"
"TCGA-DU-6407-02B" "TCGA" "" "" "" "" "bam"
"TCGA-BJ-A0Z0-01A" "TCGA" "" "" "" "" "bam"
"TCGA-QT-A5XJ-01A" "TCGA" "" "" "" "" "bam"
"TCGA-06-A7TK-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BH-A0E0-01A" "TCGA" "" "" "" "" "bam"
"TCGA-A2-A0SX-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BG-A0M8-01A" "TCGA" "" "" "" "" "bam"
"TCGA-B5-A0KB-01A" "TCGA" "" "" "" "" "bam"
"TCGA-VQ-A94O-01A" "TCGA" "" "" "" "" "bam"
"TCGA-ZG-A9L2-01A" "TCGA" "" "" "" "" "bam"
"TCGA-EJ-A7NG-01A" "TCGA" "" "" "" "" "bam"
"TCGA-C8-A12V-01A" "TCGA" "" "" "" "" "bam"
"TCGA-DD-AACL-01A" "TCGA" "" "" "" "" "bam"
"TCGA-6D-AA2E-01A" "TCGA" "" "" "" "" "bam"
"TCGA-UZ-A9PM-01A" "TCGA" "" "" "" "" "bam"
"TCGA-GD-A3OQ-01A" "TCGA" "" "" "" "" "bam"
"TCGA-IA-A40X-01A" "TCGA" "" "" "" "" "bam"
"TCGA-P4-AAVL-01A" "TCGA" "" "" "" "" "bam"
"TCGA-M9-A5M8-01A" "TCGA" "" "" "" "" "bam"
"TCGA-EJ-A65B-01A" "TCGA" "" "" "" "" "bam"
"TCGA-EJ-7218-01B" "TCGA" "" "" "" "" "bam"
"TCGA-CF-A3MI-01A" "TCGA" "" "" "" "" "bam"
"TCGA-B8-A8YJ-01A" "TCGA" "" "" "" "" "bam"
"TCGA-B8-A54K-01A" "TCGA" "" "" "" "" "bam"
"TCGA-CJ-5671-01A" "TCGA" "" "" "" "" "bam"
"TCGA-4W-AA9S-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BA-A8YP-01A" "TCGA" "" "" "" "" "bam"
"TCGA-LG-A9QD-01A" "TCGA" "" "" "" "" "bam"
"TCGA-RR-A6KB-01A" "TCGA" "" "" "" "" "bam"
"TCGA-EJ-A65F-01A" "TCGA" "" "" "" "" "bam"
"TCGA-EJ-A46D-01A" "TCGA" "" "" "" "" "bam"
"TCGA-YL-A8SL-01B" "TCGA" "" "" "" "" "bam"
"TCGA-YL-A8HJ-01A" "TCGA" "" "" "" "" "bam"
"TCGA-AA-A00W-01A" "TCGA" "" "" "" "" "bam"
"TCGA-PA-A5YG-01A" "TCGA" "" "" "" "" "bam"
"TCGA-BR-A4CS-01A" "TCGA" "" "" "" "" "bam"
"TCGA-DJ-A13M-01A" "TCGA" "" "" "" "" "bam"
"TCGA-DA-A95Y-06A" "TCGA" "" "" "" "" "bam"
