Data_Reference	Data_Origin	SRR_Sample	File_Accession	Experiment_Accession	Paired	Nature	Seqdepth
ATAC_brain_inferior_temporal_cortex_NonNeuronal_male_age_20_untreated_1_1_1	GSE96949	SRR5367759			paired-ended	fastq	31015763
ATAC_brain_inferior_temporal_cortex_NonNeuronal_male_age_22_untreated_1_1_1	GSE96949	SRR5367735			paired-ended	fastq	112399478
ATAC_brain_inferior_temporal_cortex_NonNeuronal_male_age_28_untreated_1_1_1	GSE96949	SRR5367782			paired-ended	fastq	135987991
ATAC_brain_insula_Neuronal_female_age_22_untreated_1_1_1	GSE96949	SRR5367816			paired-ended	fastq	110904643
ATAC_brain_insula_Neuronal_male_age_19_untreated_1_1_1	GSE96949	SRR5367721			paired-ended	fastq	101671018
ATAC_brain_insula_Neuronal_male_age_20_untreated_1_1_1	GSE96949	SRR5367770			paired-ended	fastq	165683071
ATAC_brain_insula_Neuronal_male_age_22_untreated_1_1_1	GSE96949	SRR5367746			paired-ended	fastq	143750823
ATAC_brain_insula_Neuronal_male_age_28_untreated_1_1_1	GSE96949	SRR5367792			paired-ended	fastq	80725654
ATAC_brain_insula_NonNeuronal_female_age_22_untreated_1_1_1	GSE96949	SRR5367803			paired-ended	fastq	72641129
ATAC_brain_insula_NonNeuronal_male_age_19_untreated_1_1_1	GSE96949	SRR5367710			paired-ended	fastq	210572434
ATAC_brain_insula_NonNeuronal_male_age_20_untreated_1_1_1	GSE96949	SRR5367758			paired-ended	fastq	90015487
ATAC_brain_insula_NonNeuronal_male_age_22_untreated_1_1_1	GSE96949	SRR5367734			paired-ended	fastq	143607698
ATAC_brain_insula_NonNeuronal_male_age_28_untreated_1_1_1	GSE96949	SRR5367781			paired-ended	fastq	123347314
ATAC_brain_medial_orbitofrontal_cortex_Neuronal_female_age_22_untreated_1_1_1	GSE96949	SRR5367819			paired-ended	fastq	104733041
ATAC_brain_medial_orbitofrontal_cortex_Neuronal_male_age_19_untreated_1_1_1	GSE96949	SRR5367724			paired-ended	fastq	86093447
ATAC_brain_medial_orbitofrontal_cortex_Neuronal_male_age_20_untreated_1_1_1	GSE96949	SRR5367773			paired-ended	fastq	84879511
ATAC_brain_medial_orbitofrontal_cortex_Neuronal_male_age_22_untreated_1_1_1	GSE96949	SRR5367750			paired-ended	fastq	79831089
ATAC_brain_medial_orbitofrontal_cortex_Neuronal_male_age_28_untreated_1_1_1	GSE96949	SRR5367794			paired-ended	fastq	146244814
ATAC_brain_medial_orbitofrontal_cortex_NonNeuronal_female_age_22_untreated_1_1_1	GSE96949	SRR5367806			paired-ended	fastq	77565359
ATAC_brain_medial_orbitofrontal_cortex_NonNeuronal_male_age_19_untreated_1_1_1	GSE96949	SRR5367713			paired-ended	fastq	88204025
ATAC_brain_medial_orbitofrontal_cortex_NonNeuronal_male_age_20_untreated_1_1_1	GSE96949	SRR5367761			paired-ended	fastq	109127798
ATAC_brain_medial_orbitofrontal_cortex_NonNeuronal_male_age_22_untreated_1_1_1	GSE96949	SRR5367738			paired-ended	fastq	106944216
ATAC_brain_medial_orbitofrontal_cortex_NonNeuronal_male_age_28_untreated_1_1_1	GSE96949	SRR5367784			paired-ended	fastq	86923538
ATAC_brain_mediodorsal_thalamus_Neuronal_female_age_22_untreated_1_1_1	GSE96949	SRR5367818			paired-ended	fastq	100125959
ATAC_brain_mediodorsal_thalamus_Neuronal_male_age_19_untreated_1_1_1	GSE96949	SRR5367723			paired-ended	fastq	101613567
ATAC_brain_mediodorsal_thalamus_Neuronal_male_age_22_untreated_1_1_1	GSE96949	SRR5367748			paired-ended	fastq	106798265
ATAC_brain_mediodorsal_thalamus_NonNeuronal_female_age_22_untreated_1_1_1	GSE96949	SRR5367805			paired-ended	fastq	50404806
ATAC_brain_mediodorsal_thalamus_NonNeuronal_male_age_19_untreated_1_1_1	GSE96949	SRR5367712			paired-ended	fastq	103296095
ATAC_brain_mediodorsal_thalamus_NonNeuronal_male_age_22_untreated_1_1_1	GSE96949	SRR5367736			paired-ended	fastq	92967343
ATAC_brain_mediodorsal_thalamus_NonNeuronal_male_age_28_untreated_1_1_1	GSE96949	SRR5367783			paired-ended	fastq	113577043
ATAC_brain_nucleus_accumbens_Neuronal_male_age_22_untreated_1_1_1	GSE96949	SRR5367749			paired-ended	fastq	125584859
ATAC_brain_nucleus_accumbens_NonNeuronal_male_age_22_untreated_1_1_1	GSE96949	SRR5367737			paired-ended	fastq	111730574
ATAC_brain_posterior_superior_temporal_cortex_Neuronal_female_age_22_untreated_1_1_1	GSE96949	SRR5367823			paired-ended	fastq	70361890
ATAC_brain_posterior_superior_temporal_cortex_Neuronal_male_age_19_untreated_1_1_1	GSE96949	SRR5367728			paired-ended	fastq	80174565
ATAC_brain_posterior_superior_temporal_cortex_Neuronal_male_age_20_untreated_1_1_1	GSE96949	SRR5367777			paired-ended	fastq	77226745
ATAC_brain_posterior_superior_temporal_cortex_Neuronal_male_age_22_untreated_1_1_1	GSE96949	SRR5367753			paired-ended	fastq	58252770
ATAC_brain_posterior_superior_temporal_cortex_Neuronal_male_age_28_untreated_1_1_1	GSE96949	SRR5367797			paired-ended	fastq	92814081
ATAC_brain_posterior_superior_temporal_cortex_NonNeuronal_female_age_22_untreated_1_1_1	GSE96949	SRR5367810			paired-ended	fastq	75315914
ATAC_brain_posterior_superior_temporal_cortex_NonNeuronal_male_age_19_untreated_1_1_1	GSE96949	SRR5367717			paired-ended	fastq	28082143
ATAC_brain_posterior_superior_temporal_cortex_NonNeuronal_male_age_20_untreated_1_1_1	GSE96949	SRR5367765			paired-ended	fastq	48916055
ATAC_brain_posterior_superior_temporal_cortex_NonNeuronal_male_age_22_untreated_1_1_1	GSE96949	SRR5367741			paired-ended	fastq	66833045
ATAC_brain_posterior_superior_temporal_cortex_NonNeuronal_male_age_28_untreated_1_1_1	GSE96949	SRR5367788			paired-ended	fastq	109675022
ATAC_brain_primary_motor_cortex_Neuronal_female_age_22_untreated_1_1_1	GSE96949	SRR5367820			paired-ended	fastq	118892714
ATAC_brain_primary_motor_cortex_Neuronal_male_age_19_untreated_1_1_1	GSE96949	SRR5367725			paired-ended	fastq	114380573
ATAC_brain_primary_motor_cortex_Neuronal_male_age_20_untreated_1_1_1	GSE96949	SRR5367774			paired-ended	fastq	115710042
ATAC_brain_primary_motor_cortex_Neuronal_male_age_28_untreated_1_1_1	GSE96949	SRR5367795			paired-ended	fastq	146343858
ATAC_brain_primary_motor_cortex_NonNeuronal_female_age_22_untreated_1_1_1	GSE96949	SRR5367807			paired-ended	fastq	83298880
ATAC_brain_primary_motor_cortex_NonNeuronal_male_age_19_untreated_1_1_1	GSE96949	SRR5367714			paired-ended	fastq	109813879
ATAC_brain_primary_motor_cortex_NonNeuronal_male_age_20_untreated_1_1_1	GSE96949	SRR5367762			paired-ended	fastq	131976188
ATAC_brain_primary_motor_cortex_NonNeuronal_male_age_22_untreated_1_1_1	GSE96949	SRR5367739			paired-ended	fastq	65592146
ATAC_brain_primary_motor_cortex_NonNeuronal_male_age_28_untreated_1_1_1	GSE96949	SRR5367785			paired-ended	fastq	62854337
ATAC_brain_primary_visual_cortex_Neuronal_female_age_22_untreated_1_1_1	GSE96949	SRR5367822			paired-ended	fastq	99404436
ATAC_brain_primary_visual_cortex_Neuronal_male_age_19_untreated_1_1_1	GSE96949	SRR5367727			paired-ended	fastq	164360444
ATAC_brain_primary_visual_cortex_Neuronal_male_age_20_untreated_1_1_1	GSE96949	SRR5367776			paired-ended	fastq	95624871
ATAC_brain_primary_visual_cortex_Neuronal_male_age_22_untreated_1_1_1	GSE96949	SRR5367752			paired-ended	fastq	145552700
ATAC_brain_primary_visual_cortex_Neuronal_male_age_28_untreated_1_1_1	GSE96949	SRR5367796			paired-ended	fastq	139517009
ATAC_brain_primary_visual_cortex_NonNeuronal_female_age_22_untreated_1_1_1	GSE96949	SRR5367809			paired-ended	fastq	98815768
ATAC_brain_primary_visual_cortex_NonNeuronal_male_age_19_untreated_1_1_1	GSE96949	SRR5367716			paired-ended	fastq	34602329
ATAC_brain_primary_visual_cortex_NonNeuronal_male_age_20_untreated_1_1_1	GSE96949	SRR5367764			paired-ended	fastq	17873254
ATAC_brain_primary_visual_cortex_NonNeuronal_male_age_28_untreated_1_1_1	GSE96949	SRR5367787			paired-ended	fastq	82377899
ATAC_brain_putamen_Neuronal_female_age_22_untreated_1_1_1	GSE96949	SRR5367821			paired-ended	fastq	118485234
ATAC_brain_putamen_Neuronal_male_age_19_untreated_1_1_1	GSE96949	SRR5367726			paired-ended	fastq	87570197
ATAC_brain_putamen_Neuronal_male_age_20_untreated_1_1_1	GSE96949	SRR5367775			paired-ended	fastq	154436848
ATAC_brain_putamen_Neuronal_male_age_22_untreated_1_1_1	GSE96949	SRR5367751			paired-ended	fastq	161697764
ATAC_brain_putamen_NonNeuronal_female_age_22_untreated_1_1_1	GSE96949	SRR5367808			paired-ended	fastq	112429940
ATAC_brain_putamen_NonNeuronal_male_age_19_untreated_1_1_1	GSE96949	SRR5367715			paired-ended	fastq	90024414
ATAC_brain_putamen_NonNeuronal_male_age_20_untreated_1_1_1	GSE96949	SRR5367763			paired-ended	fastq	91979465
ATAC_brain_putamen_NonNeuronal_male_age_22_untreated_1_1_1	GSE96949	SRR5367740			paired-ended	fastq	108723164
ATAC_brain_putamen_NonNeuronal_male_age_28_untreated_1_1_1	GSE96949	SRR5367786			paired-ended	fastq	90807657
ATAC_brain_ventrolateral_prefrontal_cortex_Neuronal_female_age_22_untreated_1_1_1	GSE96949	SRR5367824			paired-ended	fastq	84760097
ATAC_brain_ventrolateral_prefrontal_cortex_Neuronal_male_age_19_untreated_1_1_1	GSE96949	SRR5367729			paired-ended	fastq	104368205
ATAC_brain_ventrolateral_prefrontal_cortex_Neuronal_male_age_20_untreated_1_1_1	GSE96949	SRR5367778			paired-ended	fastq	140040494
ATAC_brain_ventrolateral_prefrontal_cortex_Neuronal_male_age_22_untreated_1_1_1	GSE96949	SRR5367754			paired-ended	fastq	101844926
ATAC_brain_ventrolateral_prefrontal_cortex_Neuronal_male_age_28_untreated_1_1_1	GSE96949	SRR5367798			paired-ended	fastq	110877800
ATAC_brain_ventrolateral_prefrontal_cortex_NonNeuronal_female_age_22_untreated_1_1_1	GSE96949	SRR5367811			paired-ended	fastq	46845354
ATAC_brain_ventrolateral_prefrontal_cortex_NonNeuronal_male_age_19_untreated_1_1_1	GSE96949	SRR5367718			paired-ended	fastq	52248189
ATAC_brain_ventrolateral_prefrontal_cortex_NonNeuronal_male_age_20_untreated_1_1_1	GSE96949	SRR5367766			paired-ended	fastq	70621802
ATAC_brain_ventrolateral_prefrontal_cortex_NonNeuronal_male_age_22_untreated_1_1_1	GSE96949	SRR5367742			paired-ended	fastq	105744219
ATAC_brain_ventrolateral_prefrontal_cortex_NonNeuronal_male_age_28_untreated_1_1_1	GSE96949	SRR5367789			paired-ended	fastq	80575480
Liver_female_12_797	GSE164942	SRR13439703			paired-ended	fastq	611440499
Liver_female_16_753	GSE164942	SRR13439643			paired-ended	fastq	780743877
Liver_female_17_459	GSE164942	SRR13439673			paired-ended	fastq	779134143
Liver_female_17_651	GSE164942	SRR13439649			paired-ended	fastq	859281234
Liver_female_30_767	GSE164942	SRR13439659			paired-ended	fastq	835331203
Liver_female_35_662	GSE164942	SRR13439657			paired-ended	fastq	638017483
Liver_female_36_793	GSE164942	SRR13439697			paired-ended	fastq	1300560747
Liver_female_49_670B	GSE164942	SRR13439648			paired-ended	fastq	665074584
Liver_female_49_683	GSE164942	SRR13439652			paired-ended	fastq	748938713
Liver_female_50_485	GSE164942	SRR13439684			paired-ended	fastq	1038161477
Liver_female_7_438	GSE164942	SRR13439667			paired-ended	fastq	1200763517
Liver_male_16_786	GSE164942	SRR13439633			paired-ended	fastq	762385932
Liver_male_16_794	GSE164942	SRR13439637			paired-ended	fastq	681850509
Liver_male_20_713	GSE164942	SRR13439685			paired-ended	fastq	549153482
Liver_male_28_365B	GSE164942	SRR13439626			paired-ended	fastq	588823016
Liver_male_28_469	GSE164942	SRR13439628			paired-ended	fastq	411577798
Liver_male_43_348	GSE164942	SRR13439661			paired-ended	fastq	772168242
Liver_male_50_795	GSE164942	SRR13439641			paired-ended	fastq	590191938
Liver_male_54_684B	GSE164942	SRR13439635			paired-ended	fastq	643225878
Liver_male_58_715	GSE164942	SRR13439691			paired-ended	fastq	904040200
TCGA-ACC-265	TCGA		TCGA-OR-A5J9-01A			bam	1147625333
TCGA-ACC-266	TCGA		TCGA-PK-A5H8-01A			bam	327847535
TCGA-ACC-267	TCGA		TCGA-OR-A5KX-01A			bam	342185099
TCGA-ACC-310	TCGA		TCGA-OR-A5J3-01A			bam	322721012
TCGA-ACC-311	TCGA		TCGA-OR-A5JZ-01A			bam	567679219
TCGA-ACC-341	TCGA		TCGA-OR-A5J2-01A			bam	811387351
TCGA-ACC-406	TCGA		TCGA-OR-A5J6-01A			bam	315861255
TCGA-ACC-90	TCGA		TCGA-PA-A5YG-01A			bam	1866672203
TCGA-BLCA-136	TCGA		TCGA-FD-A3SR-01A			bam	302073630
TCGA-BLCA-140	TCGA		TCGA-H4-A2HO-01C			bam	372631643
TCGA-BLCA-201	TCGA		TCGA-BL-A13J-01A			bam	284962802
TCGA-BLCA-239	TCGA		TCGA-CU-A3YL-01A			bam	319452107
TCGA-BLCA-248	TCGA		TCGA-GV-A3JW-01A			bam	237186820
TCGA-BLCA-307	TCGA		TCGA-DK-A1AD-01A			bam	297618177
TCGA-BLCA-322	TCGA		TCGA-BL-A3JM-01A			bam	277999783
TCGA-BLCA-71	TCGA		TCGA-GD-A3OQ-01A			bam	285761047
TCGA-BLCA-77	TCGA		TCGA-CF-A3MI-01A			bam	413602536
TCGA-BLCA-95	TCGA		TCGA-CF-A1HR-01A			bam	235657827
TCGA-BRCA-100	TCGA		TCGA-A2-A0EV-01A			bam	143909095
TCGA-BRCA-101	TCGA		TCGA-A8-A06N-01A			bam	294533490
TCGA-BRCA-109	TCGA		TCGA-C8-A12O-01A			bam	325481700
TCGA-BRCA-11	TCGA		TCGA-BH-A1EV-01A			bam	317092848
TCGA-BRCA-110	TCGA		TCGA-AR-A0TP-01A			bam	326859952
TCGA-BRCA-111	TCGA		TCGA-AO-A03N-01B			bam	311042925
TCGA-BRCA-112	TCGA		TCGA-A2-A0YH-01A			bam	300311499
TCGA-BRCA-113	TCGA		TCGA-A2-A0SW-01A			bam	262473591
TCGA-BRCA-114	TCGA		TCGA-A2-A0T5-01A			bam	317317469
TCGA-BRCA-115	TCGA		TCGA-A2-A0EX-01A			bam	278504300
TCGA-BRCA-118	TCGA		TCGA-AQ-A04L-01A			bam	324548479
TCGA-BRCA-12	TCGA		TCGA-BH-A0HP-01A			bam	309080163
TCGA-BRCA-150	TCGA		TCGA-A2-A0YF-01A			bam	313475497
TCGA-BRCA-151	TCGA		TCGA-BH-A0BZ-01A			bam	424422477
TCGA-BRCA-152	TCGA		TCGA-AO-A03L-01A			bam	453259399
TCGA-BRCA-153	TCGA		TCGA-AR-A0U0-01A			bam	328049612
TCGA-BRCA-183	TCGA		TCGA-AO-A12D-01A			bam	737368536
TCGA-BRCA-184	TCGA		TCGA-A7-A13F-01A			bam	284086436
TCGA-BRCA-185	TCGA		TCGA-A2-A0YC-01A			bam	296136495
TCGA-BRCA-186	TCGA		TCGA-AO-A124-01A			bam	307589175
TCGA-BRCA-191	TCGA		TCGA-AR-A0U4-01A			bam	276528050
TCGA-BRCA-192	TCGA		TCGA-BH-A0C1-01A			bam	110364741
TCGA-BRCA-193	TCGA		TCGA-BH-A0B5-01A			bam	309076090
TCGA-BRCA-194	TCGA		TCGA-A2-A0YJ-01A			bam	319083846
TCGA-BRCA-208	TCGA		TCGA-C8-A12Y-01A			bam	264806288
TCGA-BRCA-209	TCGA		TCGA-C8-A12U-01A			bam	270666501
TCGA-BRCA-210	TCGA		TCGA-A2-A0T4-01A			bam	210700941
TCGA-BRCA-211	TCGA		TCGA-C8-A137-01A			bam	315503624
TCGA-BRCA-212	TCGA		TCGA-S3-AA0Z-01A			bam	314158601
TCGA-BRCA-213	TCGA		TCGA-C8-A12Q-01A			bam	390484153
TCGA-BRCA-214	TCGA		TCGA-A2-A0EY-01A			bam	313200554
TCGA-BRCA-215	TCGA		TCGA-A2-A0ET-01A			bam	161222813
TCGA-BRCA-216	TCGA		TCGA-AO-A0JG-01A			bam	376930172
TCGA-BRCA-217	TCGA		TCGA-BH-A0BA-01A			bam	222358425
TCGA-BRCA-218	TCGA		TCGA-AO-A12F-01A			bam	345026679
TCGA-BRCA-244	TCGA		TCGA-BH-A0DV-01A			bam	331881228
TCGA-BRCA-261	TCGA		TCGA-AO-A0J8-01A			bam	219387856
TCGA-BRCA-282	TCGA		TCGA-A2-A0YK-01A			bam	232714612
TCGA-BRCA-283	TCGA		TCGA-BH-A0DL-01A			bam	362350344
TCGA-BRCA-284	TCGA		TCGA-3C-AALJ-01A			bam	152217671
TCGA-BRCA-285	TCGA		TCGA-A2-A0YT-01A			bam	127431491
TCGA-BRCA-286	TCGA		TCGA-A2-A0YL-01A			bam	258741887
TCGA-BRCA-287	TCGA		TCGA-A7-A0CH-01A			bam	326021481
TCGA-BRCA-288	TCGA		TCGA-C8-A12T-01A			bam	470180674
TCGA-BRCA-289	TCGA		TCGA-A2-A0YG-01A			bam	245768473
TCGA-BRCA-290	TCGA		TCGA-C8-A12M-01A			bam	328372179
TCGA-BRCA-291	TCGA		TCGA-A2-A0T6-01A			bam	132640722
TCGA-BRCA-292	TCGA		TCGA-A2-A0ES-01A			bam	212398446
TCGA-BRCA-293	TCGA		TCGA-A7-A0D9-01A			bam	342554002
TCGA-BRCA-312	TCGA		TCGA-AO-A0JM-01A			bam	228088663
TCGA-BRCA-313	TCGA		TCGA-A2-A0CX-01A			bam	264429086
TCGA-BRCA-338	TCGA		TCGA-D8-A13Z-01A			bam	392640294
TCGA-BRCA-339	TCGA		TCGA-A8-A08J-01A			bam	310310191
TCGA-BRCA-347	TCGA		TCGA-A2-A0T7-01A			bam	291812321
TCGA-BRCA-348	TCGA		TCGA-C8-A8HR-01A			bam	253002378
TCGA-BRCA-349	TCGA		TCGA-A2-A4RX-01A			bam	284238095
TCGA-BRCA-35	TCGA		TCGA-AR-A0TV-01A			bam	275102145
TCGA-BRCA-36	TCGA		TCGA-A2-A0YD-01A			bam	271172799
TCGA-BRCA-37	TCGA		TCGA-BH-A0DP-01A			bam	297254081
TCGA-BRCA-379	TCGA		TCGA-AO-A0JB-01A			bam	325765202
TCGA-BRCA-38	TCGA		TCGA-A2-A0SV-01A			bam	288822926
TCGA-BRCA-380	TCGA		TCGA-AO-A0J5-01A			bam	127170822
TCGA-BRCA-388	TCGA		TCGA-A2-A0EW-01A			bam	376291239
TCGA-BRCA-389	TCGA		TCGA-A8-A094-01A			bam	325085620
TCGA-BRCA-39	TCGA		TCGA-A2-A0T4-01A			bam	265151963
TCGA-BRCA-397	TCGA		TCGA-C8-A130-01A			bam	284056302
TCGA-BRCA-398	TCGA		TCGA-A7-A13E-01A			bam	322726571
TCGA-BRCA-399	TCGA		TCGA-C8-A133-01A			bam	299019354
TCGA-BRCA-400	TCGA		TCGA-BH-A0B1-01A			bam	306460723
TCGA-BRCA-401	TCGA		TCGA-4H-AAAK-01A			bam	279873541
TCGA-BRCA-402	TCGA		TCGA-BH-A0EE-01A			bam	249735381
TCGA-BRCA-403	TCGA		TCGA-C8-A12K-01A			bam	246804521
TCGA-BRCA-60	TCGA		TCGA-BH-A0E0-01A			bam	200858962
TCGA-BRCA-61	TCGA		TCGA-A2-A0SX-01A			bam	224029933
TCGA-BRCA-67	TCGA		TCGA-C8-A12V-01A			bam	394505035
TCGA-CESC-107	TCGA		TCGA-EA-A3HT-01A			bam	85153663
TCGA-CESC-345	TCGA		TCGA-EA-A3HT-01A			bam	280395324
TCGA-CESC-381	TCGA		TCGA-EA-A3HS-01A			bam	337676914
TCGA-CESC-383	TCGA		TCGA-EA-A3HT-01A			bam	189724840
TCGA-CHOL-116	TCGA		TCGA-3X-AAVA-01A			bam	761901857
TCGA-CHOL-125	TCGA		TCGA-ZH-A8Y5-01A			bam	329318895
TCGA-CHOL-226	TCGA		TCGA-W6-AA0T-01A			bam	256251109
TCGA-CHOL-242	TCGA		TCGA-W7-A93N-01A			bam	317444596
TCGA-CHOL-407	TCGA		TCGA-ZH-A8Y7-01A			bam	299811948
TCGA-COAD-106	TCGA		TCGA-SS-A7HO-01A			bam	359621509
TCGA-COAD-119	TCGA		TCGA-NH-A8F7-01A			bam	472776205
TCGA-COAD-14	TCGA		TCGA-AD-6889-01A			bam	314444290
TCGA-COAD-142	TCGA		TCGA-AY-A69D-01A			bam	333460367
TCGA-COAD-143	TCGA		TCGA-DM-A28G-01A			bam	363621665
TCGA-COAD-144	TCGA		TCGA-AY-A71X-01A			bam	447222706
TCGA-COAD-154	TCGA		TCGA-A6-A566-01A			bam	535461560
TCGA-COAD-155	TCGA		TCGA-A6-A567-01A			bam	397587844
TCGA-COAD-156	TCGA		TCGA-AA-A00L-01A			bam	447790218
TCGA-COAD-157	TCGA		TCGA-QG-A5YX-01A			bam	273044598
TCGA-COAD-166	TCGA		TCGA-AA-A01R-01A			bam	297179206
TCGA-COAD-2	TCGA		TCGA-NH-A50V-01B			bam	300618811
TCGA-COAD-247	TCGA		TCGA-QG-A5YV-01A			bam	1058702448
TCGA-COAD-26	TCGA		TCGA-NH-A50U-01A			bam	340127085
TCGA-COAD-272	TCGA		TCGA-AA-A00Q-01A			bam	350377870
TCGA-COAD-274	TCGA		TCGA-3L-AA1B-01A			bam	305463579
TCGA-COAD-275	TCGA		TCGA-AA-A02F-01A			bam	260397872
TCGA-COAD-276	TCGA		TCGA-AY-A54L-01A			bam	326409158
TCGA-COAD-3	TCGA		TCGA-AA-A010-01A			bam	352718554
TCGA-COAD-30	TCGA		TCGA-AA-A01X-01A			bam	521769795
TCGA-COAD-342	TCGA		TCGA-AA-A00E-01A			bam	389211665
TCGA-COAD-343	TCGA		TCGA-AA-A010-01A			bam	308061445
TCGA-COAD-344	TCGA		TCGA-NH-A8F8-01A			bam	364125785
TCGA-COAD-357	TCGA		TCGA-AA-A01S-01A			bam	521393865
TCGA-COAD-358	TCGA		TCGA-AA-A00J-01A			bam	327195273
TCGA-COAD-359	TCGA		TCGA-AA-A024-01A			bam	295487073
TCGA-COAD-360	TCGA		TCGA-AA-A02E-01A			bam	347064957
TCGA-COAD-365	TCGA		TCGA-A6-A565-01A			bam	224367363
TCGA-COAD-366	TCGA		TCGA-AA-A024-01A			bam	414604875
TCGA-COAD-371	TCGA		TCGA-QL-A97D-01A			bam	346454530
TCGA-COAD-384	TCGA		TCGA-AA-A01D-01A			bam	248302214
TCGA-COAD-385	TCGA		TCGA-NH-A6GA-01A			bam	262277965
TCGA-COAD-386	TCGA		TCGA-A6-A56B-01A			bam	274609736
TCGA-COAD-387	TCGA		TCGA-AA-A022-01A			bam	261682840
TCGA-COAD-408	TCGA		TCGA-AA-A010-01A			bam	309769763
TCGA-COAD-409	TCGA		TCGA-4N-A93T-01A			bam	154808117
TCGA-COAD-410	TCGA		TCGA-AA-A01P-01A			bam	180454774
TCGA-COAD-46	TCGA		TCGA-NH-A5IV-01A			bam	292488152
TCGA-COAD-8	TCGA		TCGA-AY-A8YK-01A			bam	241235553
TCGA-COAD-89	TCGA		TCGA-AA-A00W-01A			bam	425659621
TCGA-COAD-9	TCGA		TCGA-NH-A6GC-01A			bam	265252162
TCGA-ESCA-103	TCGA		TCGA-IG-A51D-01A			bam	315161601
TCGA-ESCA-117	TCGA		TCGA-IC-A6RE-01A			bam	314381430
TCGA-ESCA-130	TCGA		TCGA-IG-A7DP-01A			bam	234448606
TCGA-ESCA-134	TCGA		TCGA-IG-A4P3-01A			bam	85014828
TCGA-ESCA-146	TCGA		TCGA-L5-A4OE-01A			bam	239295926
TCGA-ESCA-161	TCGA		TCGA-LN-A49O-01A			bam	404532271
TCGA-ESCA-162	TCGA		TCGA-LN-A9FQ-01A			bam	316413576
TCGA-ESCA-228	TCGA		TCGA-IG-A625-01A			bam	259231054
TCGA-ESCA-230	TCGA		TCGA-LN-A4MR-01A			bam	141767733
TCGA-ESCA-234	TCGA		TCGA-IG-A3YA-01A			bam	335539678
TCGA-ESCA-250	TCGA		TCGA-LN-A4A5-01A			bam	311748015
TCGA-ESCA-254	TCGA		TCGA-LN-A4A2-01A			bam	232504500
TCGA-ESCA-300	TCGA		TCGA-LN-A8HZ-01A			bam	165357858
TCGA-ESCA-303	TCGA		TCGA-IG-A4QS-01A			bam	213492440
TCGA-ESCA-327	TCGA		TCGA-LN-A49W-01A			bam	258691602
TCGA-ESCA-328	TCGA		TCGA-L7-A6VZ-01A			bam	329815568
TCGA-ESCA-330	TCGA		TCGA-LN-A7HX-01A			bam	258964599
TCGA-ESCA-74	TCGA		TCGA-M9-A5M8-01A			bam	271541511
TCGA-GBM-137	TCGA		TCGA-76-6656-01A			bam	266729369
TCGA-GBM-241	TCGA		TCGA-OX-A56R-01A			bam	336870931
TCGA-GBM-28	TCGA		TCGA-06-A5U0-01A			bam	246043494
TCGA-GBM-346	TCGA		TCGA-81-5910-01A			bam	276278043
TCGA-GBM-382	TCGA		TCGA-06-A7TL-01A			bam	412437934
TCGA-GBM-4	TCGA		TCGA-06-A6S1-01A			bam	302920439
TCGA-GBM-59	TCGA		TCGA-06-A7TK-01A			bam	266077776
TCGA-GBM-81	TCGA		TCGA-4W-AA9S-01A			bam	245019302
TCGA-GBM-84	TCGA		TCGA-RR-A6KB-01A			bam	227010671
TCGA-HNSC-160	TCGA		TCGA-CN-A49B-01A			bam	101191890
TCGA-HNSC-167	TCGA		TCGA-F7-A624-01A			bam	301360860
TCGA-HNSC-172	TCGA		TCGA-CV-A468-01A			bam	157004560
TCGA-HNSC-175	TCGA		TCGA-BA-A4IH-01A			bam	275423518
TCGA-HNSC-204	TCGA		TCGA-H7-A76A-01A			bam	305119946
TCGA-HNSC-207	TCGA		TCGA-D6-A6EP-01A			bam	269501968
TCGA-HNSC-249	TCGA		TCGA-KU-A6H7-06A			bam	242265233
TCGA-HNSC-82	TCGA		TCGA-BA-A8YP-01A			bam	335327476
TCGA-HNSC-99	TCGA		TCGA-KU-A66S-01A			bam	534305997
TCGA-KIRC-170	TCGA		TCGA-3Z-A93Z-01A			bam	291077648
TCGA-KIRC-171	TCGA		TCGA-CJ-5677-01A			bam	248020116
TCGA-KIRC-174	TCGA		TCGA-B8-A54J-01A			bam	276261698
TCGA-KIRC-178	TCGA		TCGA-B8-A54H-01A			bam	420345170
TCGA-KIRC-179	TCGA		TCGA-B8-A54E-01A			bam	245480752
TCGA-KIRC-223	TCGA		TCGA-CJ-5679-01A			bam	306364862
TCGA-KIRC-236	TCGA		TCGA-B8-A54F-01A			bam	338853411
TCGA-KIRC-263	TCGA		TCGA-DV-A4VX-01A			bam	1333702815
TCGA-KIRC-302	TCGA		TCGA-B8-A54G-01A			bam	1037480356
TCGA-KIRC-320	TCGA		TCGA-GK-A6C7-01A			bam	318350982
TCGA-KIRC-321	TCGA		TCGA-MM-A564-01A			bam	317984578
TCGA-KIRC-41	TCGA		TCGA-B2-A4SR-01A			bam	241731909
TCGA-KIRC-69	TCGA		TCGA-6D-AA2E-01A			bam	266605950
TCGA-KIRC-78	TCGA		TCGA-B8-A8YJ-01A			bam	314839622
TCGA-KIRC-79	TCGA		TCGA-B8-A54K-01A			bam	267926942
TCGA-KIRC-80	TCGA		TCGA-CJ-5671-01A			bam	231775139
TCGA-KIRP-163	TCGA		TCGA-B1-A47N-01A			bam	306030742
TCGA-KIRP-164	TCGA		TCGA-KV-A74V-01A			bam	279161959
